word,language,count,pos,tsne_x,tsne_y
connection,en,1,NOUN,18.978436,31.524223
plot,en,1,NOUN,31.115345,-2.8174105
firm,en,1,NOUN,6.497255,21.551094
portion,en,2,NOUN,14.287043,14.944845
residence,en,4,NOUN,34.477924,-31.405174
moon,en,3,NOUN,37.83781,6.208237
limit,en,2,NOUN,12.540549,27.542452
minute,en,3,NOUN,15.04554,9.614182
wind,en,5,NOUN,15.698135,2.4822574
crown,en,8,NOUN,9.146405,-19.432936
step,en,9,NOUN,12.102025,31.971088
alliance,en,1,NOUN,-4.729564,18.05874
heat,en,9,NOUN,49.315506,-12.003668
credit,en,2,NOUN,4.4175663,29.529444
boat,en,7,NOUN,9.557368,-12.250605
colonel,en,1,NOUN,3.4549065,0.3504265
tradition,en,1,NOUN,31.553503,-16.644108
spirit,en,8,NOUN,34.855835,10.590376
climate,en,9,NOUN,13.639489,1.5156921
passing,en,1,NOUN,17.45379,14.163445
pope,en,2,NOUN,24.652025,-24.07285
glass,en,6,NOUN,44.17109,-10.048311
defence,en,2,NOUN,-2.001727,-3.5663311
speech,en,2,NOUN,28.159824,24.366457
proposal,en,1,NOUN,12.817194,36.511414
ff,en,1,NOUN,52.909225,7.457262
fashion,en,24,NOUN,32.49364,4.787712
foot,en,27,NOUN,50.72095,8.478471
audience,en,6,NOUN,26.50211,18.353962
motion,en,6,NOUN,0.67923456,36.740215
setting,en,1,NOUN,13.895727,19.385698
criminal,en,2,NOUN,35.077766,41.74132
commonwealth,en,1,NOUN,-0.33145404,2.9755657
cathedral,en,2,NOUN,26.93455,-22.832314
reality,en,1,NOUN,34.960434,8.010116
enemy,en,2,NOUN,4.0615993,7.1348968
respect,en,21,NOUN,20.49113,31.250402
killing,en,1,NOUN,37.28547,42.1814
fan,en,2,NOUN,8.374715,-25.854343
painter,en,3,NOUN,35.97628,-16.909334
universe,en,1,NOUN,36.287357,7.1749315
aid,en,1,NOUN,8.022576,40.916016
driver,en,2,NOUN,6.3155317,-15.635899
baby,en,2,NOUN,19.376842,-4.762624
calling,en,3,NOUN,27.465631,28.295757
weather,en,11,NOUN,14.668969,2.3152566
bird,en,2,NOUN,65.806335,-20.585844
strength,en,5,NOUN,46.054367,19.46617
keeping,en,1,NOUN,14.845877,19.970219
magic,en,1,NOUN,38.219944,3.3031425
treaty,en,2,NOUN,-2.281279,21.476322
rear,en,2,NOUN,46.024208,-1.3650036
circuit,en,1,NOUN,32.4455,43.737415
geography,en,1,NOUN,11.411661,-0.2351361
chamber,en,20,NOUN,-8.618773,-26.619316
moment,en,4,NOUN,22.261,24.744162
grounds,en,1,NOUN,21.891296,35.854614
condition,en,2,NOUN,50.233334,18.83989
instance,en,5,NOUN,17.479242,32.30364
shift,en,3,NOUN,11.499503,33.236416
door,en,14,NOUN,40.158596,-25.704044
institution,en,2,NOUN,6.601386,13.075229
princess,en,11,NOUN,11.381281,-20.259745
corner,en,5,NOUN,31.080833,-33.941612
mill,en,1,NOUN,57.990803,-7.053225
spot,en,5,NOUN,13.105907,17.787703
progress,en,1,NOUN,22.68996,16.72099
truth,en,31,NOUN,31.476212,30.68418
peer,en,1,NOUN,5.8264194,14.84089
shape,en,22,NOUN,46.82393,9.637378
legend,en,1,NOUN,32.87227,-0.6735753
injury,en,1,NOUN,52.23513,10.37717
violence,en,1,NOUN,39.038055,35.99061
chapel,en,2,NOUN,28.434711,-22.616465
dream,en,3,NOUN,32.6486,2.1974878
passenger,en,1,NOUN,10.153289,-7.6302776
parent,en,4,NOUN,14.478459,-3.0674036
column,en,3,NOUN,-15.293202,-34.154545
soul,en,11,NOUN,34.533028,10.489301
entrance,en,6,NOUN,34.976215,-26.445824
string,en,3,NOUN,36.644993,-8.705711
pair,en,2,NOUN,47.822624,3.3032916
sample,en,1,NOUN,19.846943,18.161598
arm,en,20,NOUN,53.188416,8.12965
